d;DolarOficial;DolarBlue
2002-03-04;2.01;2.12
2002-03-05;1.99;2.12
2002-03-06;2.05;2.14
2002-03-07;2.14;2.22
2002-03-08;2.2;2.27
2002-03-11;2.25;2.32
2002-03-12;2.37;2.43
2002-03-13;2.33;2.42
2002-03-14;2.37;2.46
2002-03-15;2.34;2.45
2002-03-18;2.32;2.44
2002-03-19;2.38;2.46
2002-03-20;2.43;2.54
2002-03-21;2.39;2.55
2002-03-22;2.57;3.1
2002-03-25;3.21;3.6
2002-03-26;2.99;3.1
2002-03-27;2.85;3.05
2002-04-02;2.89;2.93
2002-04-03;2.9;2.97
2002-04-04;2.8;2.84
2002-04-05;2.67;2.82
2002-04-08;2.7;2.79
2002-04-09;2.75;2.8
2002-04-10;2.77;2.8
2002-04-11;2.79;2.84
2002-04-12;2.86;2.98
2002-04-15;2.92;2.95
2002-04-16;2.85;2.82
2002-04-17;2.81;2.89
2002-04-18;2.91;3.15
2002-04-19;3.12;3.21
2002-04-29;3.02;2.95
2002-04-30;2.92;3.03
2002-05-02;3.04;3.15
2002-05-03;3.16;3.2
2002-05-06;3.16;3.21
2002-05-07;3.17;3.23
2002-05-08;3.19;3.25
2002-05-09;3.18;3.22
2002-05-10;3.18;3.31
2002-05-13;3.27;3.3
2002-05-14;3.26;3.3
2002-05-15;3.23;3.27
2002-05-16;3.22;3.28
2002-05-17;3.33;3.42
2002-05-20;3.52;3.57
2002-05-21;3.49;3.5
2002-05-22;3.42;3.52
2002-05-23;3.39;3.49
2002-05-24;3.43;3.57
2002-05-27;3.45;3.54
2002-05-28;3.45;3.54
2002-05-29;3.54;3.62
2002-05-30;3.59;3.65
2002-05-31;3.58;3.62
2002-06-03;3.59;3.65
2002-06-04;3.61;3.66
2002-06-05;3.63;3.67
2002-06-06;3.64;3.7
2002-06-07;3.63;3.71
2002-06-10;3.53;3.55
2002-06-11;3.46;3.54
2002-06-12;3.45;3.53
2002-06-13;3.47;3.55
2002-06-14;3.5;3.62
2002-06-18;3.51;3.58
2002-06-19;3.54;3.64
2002-06-20;3.58;3.67
2002-06-21;3.64;3.75
2002-06-24;3.71;3.83
2002-06-25;3.85;3.93
2002-06-26;3.87;3.91
2002-06-27;3.81;3.87
2002-06-28;3.8;3.92
2002-07-01;3.79;3.83
2002-07-02;3.69;3.7
2002-07-03;3.58;3.64
2002-07-04;3.56;3.6
2002-07-05;3.57;3.64
2002-07-08;3.53;3.59
2002-07-10;3.53;3.59
2002-07-11;3.56;3.62
2002-07-12;3.59;3.63
2002-07-15;3.59;3.63
2002-07-16;3.59;3.6
2002-07-17;3.5;3.58
2002-07-18;3.54;3.61
2002-07-19;3.58;3.62
2002-07-22;3.6;3.63
2002-07-23;3.64;3.68
2002-07-24;3.65;3.66
2002-07-25;3.63;3.66
2002-07-26;3.66;3.68
2002-07-29;3.65;3.67
2002-07-30;3.65;3.67
2002-07-31;3.7;3.73
2002-08-01;3.63;3.65
2002-08-02;3.62;3.65
2002-08-05;3.62;3.63
2002-08-06;3.62;3.63
2002-08-07;3.63;3.63
2002-08-08;3.64;3.63
