Dia;DolarOficial;DolarBlue
2021-08-04;96.84;180.5
2021-08-05;96.88;180.5
2021-08-06;96.91;178.5
2021-08-09;97.0;179.0
2021-08-10;97.03;178.0
2021-08-11;97.05;178.0
2021-08-12;97.08;178.5
2021-08-13;97.11;182.0
2021-08-17;97.23;183.0
2021-08-18;97.27;182.0
2021-08-19;97.29;181.5
2021-08-20;97.32;182.0
2021-08-23;97.41;182.0
2021-08-24;97.44;182.0
2021-08-25;97.48;181.5
2021-08-26;97.55;181.5
2021-08-27;97.57;182.0
2021-08-30;97.72;182.0
2021-08-31;97.75;182.0
2021-09-01;97.78;180.5
2021-09-02;97.83;181.0
2021-09-03;97.87;182.0
2021-09-06;97.95;182.0
2021-09-07;97.99;183.5
2021-09-08;98.02;187.0
2021-09-09;98.05;186.5
2021-09-10;98.1;185.0
2021-09-13;98.21;181.0
2021-09-14;98.22;182.5
2021-09-15;98.25;185.0
2021-09-16;98.31;186.0
2021-09-17;98.35;185.0
2021-09-20;98.48;184.0
2021-09-21;98.49;184.0
2021-09-22;98.51;185.0
2021-09-23;98.52;185.0
2021-09-24;98.56;186.0
2021-09-27;98.67;186.5
2021-09-28;98.68;187.0
2021-09-29;98.71;187.0
2021-09-30;98.74;186.0
2021-10-01;98.78;186.0
2021-10-04;98.89;185.0
2021-10-05;98.9;185.0
2021-10-06;98.92;185.5
2021-10-07;98.95;184.5
2021-10-12;99.1;185.0
2021-10-13;99.13;185.0
2021-10-14;99.16;185.5
2021-10-15;99.19;186.5
2021-10-18;99.28;185.5
2021-10-19;99.31;187.0
2021-10-20;99.34;188.0
2021-10-21;99.37;191.0
2021-10-22;99.4;195.0
2021-10-25;99.49;194.0
2021-10-26;99.53;196.0
2021-10-27;99.62;197.0
2021-10-28;99.69;198.0
2021-10-29;99.72;197.5
2021-11-01;99.83;196.5
2021-11-02;99.85;197.5
2021-11-03;99.9;199.0
2021-11-04;99.95;199.0
2021-11-05;99.95;199.0
2021-11-08;100.05;199.0
2021-11-09;100.1;199.5
2021-11-10;100.14;205.0
2021-11-11;100.18;206.5
2021-11-12;100.23;200.0
2021-11-15;100.29;199.5
2021-11-16;100.31;200.5
2021-11-17;100.36;201.5
2021-11-18;100.41;201.0
2021-11-19;100.47;201.5
2021-11-23;100.6;201.0
2021-11-24;100.62;200.5
2021-11-25;100.68;201.0
2021-11-26;100.76;201.0
2021-11-29;100.92;201.0
2021-11-30;100.93;201.5
2021-12-01;101.01;200.5
2021-12-02;101.07;200.5
2021-12-03;101.16;200.5
2021-12-06;101.32;199.0
2021-12-07;101.37;198.0
2021-12-09;101.51;196.0
2021-12-10;101.58;196.5
2021-12-13;101.73;195.5
2021-12-14;101.77;196.5
2021-12-15;101.83;198.5
2021-12-16;101.89;198.5
2021-12-17;101.97;200.0
2021-12-20;102.15;200.0
2021-12-21;102.2;199.0
2021-12-22;102.28;200.5
2021-12-23;102.33;204.0
